USPN,Catalina 22,96.3,"98.4,96.3,95.3,95.1"
USPN,Flying Scot,89.6,"92.1,90.4,89.1,87.5"
USPN,FJ (Int.),97.9,"100.9,99.3,98.2,95.8"
USPN,Merit 22 (Ret. Keel),92.7,"94.2,93.1,92.9,92.1"
USPN,Hobie 16,76,"81.5,78.7,74.1,71.3"
USPN,Precision 15,96.6
USPN,SR Max 21,81.7,"83.8,82.0,79.5,76"
USPN,J22,82.7,"84.2,82.7,82.2,82.0"
USPN,Hunter 23,96.2,"99.0,97.7,95.3,93.3"
USPN,Mobjack,91.3,"96.5,92.4,88.0,85.5"
